OpType,Config,View,ParentZone,ZoneDeployFlag,Name,RecordType,on-exist,TTL,HostAddress,Rdata,naptr-order,naptr-Preference,naptr-Service,naptr-RegExp,naptr-Replacement,naptr-Flags,SRV-Priority,SRV-Weight,SRV-Port,SRV-Host,Linkto,Text,HINFO-os,HINFO-cpu,Others
"record","config1","view1",test.corp,,pc1,"HOST",,,"10.1.1.11",,,,,,,,,,
"record","config1","view1",test.corp,,pc2,"HOST",,,"10.1.1.12",,,,,,,,,,
"record","config1","view1",test.corp,,h1,"HOST",,,"10.1.1.10",,,,,,,,,,
"record","config1","view1",test.corp,,h2,"HOST",,,"10.1.1.12",,,,,,,,,,
"record","config1","view1",test.corp,,mm-ad1,"HOST",,,"10.1.2.103,10.1.1.103",,,,,,,,,,
"record","config1","view1",test.corp,,,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,DomainDnsZones,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,ForestDnsZones,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,h3,"HOST",,,"10.1.1.14",,,,,,,,,,
"record","config1","view1",test.corp,,_ldap._tcp,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._tcp,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_gc._tcp,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",test.corp,,_gc._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._udp,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kpasswd._tcp,"SRV",,,,,,,,,,,0,100,464,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kpasswd._udp,"SRV",,,,,,,,,,,0,100,464,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.DomainDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.ForestDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,a1,"A",,,,1.1.1.1,,,,,,,,,
"record","config1","view1",test.corp,,a2,"A",,,,1.1.1.2,,,,,,,,,
"record","config1","view1",_msdcs.test.corp,,gc,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",_msdcs.test.corp,,e4b8a628-ca31-42ba-975f-7e929b4251c0,"CNAME",,,,,,,,,,,,,,,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.pdc,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.gc,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.Default-First-Site-Name._sites.gc,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.6272fd53-837d-46ca-b900-a6ebc7ccf7b6.domains,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_kerberos._tcp.dc,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_kerberos._tcp.Default-First-Site-Name._sites.dc,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.dc,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",_msdcs.test.corp,,_ldap._tcp.Default-First-Site-Name._sites.dc,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",red.corp,,host1,"HOST",,,"10.1.1.11",,,,,,,,,,
"record","config1","view1",red.corp,,host2,"HOST",,,"10.1.1.12",,,,,,,,,,
"record","config1","view1",red.corp,,a1,"A",,,,1.1.1.1,,,,,,,,,
"record","config1","view1",red.corp,,a2,"A",,,,1.1.1.2,,,,,,,,,
"record","config1","view1",green.corp,,host1,"HOST",,,"10.1.1.31",,,,,,,,,,
"record","config1","view1",green.corp,,host2,"HOST",,,"10.1.1.32",,,,,,,,,,
"record","config1","view1",yellow.corp,,h1,"HOST",,,"10.1.1.41",,,,,,,,,,
"record","config1","view1",yellow.corp,,h2,"HOST",,,"10.1.1.42",,,,,,,,,,
"record","config1","view1",yellow.corp,,www2,"CNAME",,,,,,,,,,,,,,,h2.yellow.corp
"record","config1","view1",test.foo,,a1,"A",,,,2.2.2.2,,,,,,,,,
"record","config1","view1",test.foo,,a2,"A",,,,3.3.3.3,,,,,,,,,
