OpType,Config,View,ParentZone,ZoneDeployFlag,Name,RecordType,on-exist,TTL,HostAddress,Rdata,naptr-order,naptr-Preference,naptr-Service,naptr-RegExp,naptr-Replacement,naptr-Flags,SRV-Priority,SRV-Weight,SRV-Port,SRV-Host,Linkto,Text,HINFO-os,HINFO-cpu,Others
"record","config1","view1",test.corp,,pc1,"HOST",,,"10.1.1.11",,,,,,,,,,
"record","config1","view1",test.corp,,pc2,"HOST",,,"10.1.1.12",,,,,,,,,,
"record","config1","view1",test.corp,,h1,"HOST",,,"10.1.1.10",,,,,,,,,,
"record","config1","view1",test.corp,,h2,"HOST",,,"10.1.1.12",,,,,,,,,,
"record","config1","view1",test.corp,,mm-ad1,"HOST",,,"10.1.2.103,10.1.1.103",,,,,,,,,,
"record","config1","view1",test.corp,,,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,DomainDnsZones,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,ForestDnsZones,"HOST",,,"10.1.1.103,10.1.2.103",,,,,,,,,,
"record","config1","view1",test.corp,,h3,"HOST",,,"10.1.1.14",,,,,,,,,,
"record","config1","view1",test.corp,,host6-1,"HOST",,,"2001:DB8:B101:101:0:0:0:3",,,,,,,,,,
"record","config1","view1",test.corp,,host6-2,"HOST",,,"2001:DB8:B101:101:0:0:0:32",,,,,,,,,,
"record","config1","view1",test.corp,,host3,"HOST",,,"2001:DB8:B101:101:0:0:0:33",,,,,,,,,,
"record","config1","view1",test.corp,,aaa1,"HOST",,,"10.1.1.33",,,,,,,,,,
"record","config1","view1",test.corp,,2001:db8:b101:101::33,"CNAME",,,,,,,,,,,,,,,host3.test.corp
"record","config1","view1",test.corp,,_ldap._tcp,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._tcp,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_gc._tcp,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",test.corp,,_gc._tcp.Default-First-Site-Name._sites,"SRV",,,,,,,,,,,0,100,3268,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kerberos._udp,"SRV",,,,,,,,,,,0,100,88,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kpasswd._tcp,"SRV",,,,,,,,,,,0,100,464,mm-ad1.test.corp
"record","config1","view1",test.corp,,_kpasswd._udp,"SRV",,,,,,,,,,,0,100,464,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.DomainDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.ForestDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones,"SRV",,,,,,,,,,,0,100,389,mm-ad1.test.corp
"record","config1","view1",test.corp,,a1,"A",,,,1.1.1.1,,,,,,,,,
"record","config1","view1",test.corp,,a2,"A",,,,1.1.1.2,,,,,,,,,
"record","config1","view1",test.corp,,a9,"A",,,,9.9.9.9,,,,,,,,,
